system:index,0,0.5,1,1.5,total_area_96,total_area_20,total_loss,total_gain,change,per_change,seascape_size
"-1,975,358",SR,SR,S,S,0.664661887,0.806480112,0.604758788,0.746577013,0.141818225,21.33689742,25
"-1,974,358",S,S,S,S,8.487034904,0,8.487034904,0,-8.487034904,-100,25
"-1,973,358",SR,S,S,S,3.915233598,0,3.915233598,0,-3.915233598,-100,25
"-1,972,358",S,S,S,S,0.512982256,0,0.512982256,0,-0.512982256,-100,25
"-1,971,358",S,S,S,S,0.943182403,0,0.943182403,0,-0.943182403,-100,25
"-1,970,358",S,S,S,S,0.811060479,0,0.811060479,0,-0.811060479,-100,25
"-1,969,358",SR,S,S,N,0.400975237,0.000859848,0.400975237,0.000859848,-0.400115389,-99.78556082,25
"-1,968,358",SR,SR,SR,SR,1.955656389,0.183999114,1.929002769,0.157345493,-1.771657275,-90.59143953,25
"-1,967,358",SR,SR,SR,SR,5.10913955,1.207747777,4.681813714,0.780421941,-3.901391773,-76.36103369,25
"-1,966,358",SR,SR,SR,SR,7.565589537,1.548745142,6.915596979,0.898752584,-6.016844395,-79.52908845,25
"-1,965,358",SR,SR,SR,SR,1.257237132,0.221805784,1.121975645,0.086544297,-1.035431348,-82.35768111,25
"-1,964,358",N,N,N,N,0,0,0,0,0,0,25
"-1,963,358",N,N,N,N,0,0,0,0,0,0,25
"-1,962,358",N,N,N,N,0,0,0,0,0,0,25
"-1,961,358",S,N,N,N,0.000859881,0,0.000859881,0,-0.000859881,-100,25
"-1,960,358",S,N,N,N,0.005445807,0,0.005445807,0,-0.005445807,-100,25
"-1,959,358",N,N,N,N,0,0,0,0,0,0,25
"-1,958,358",N,N,N,N,0,0,0,0,0,0,25
"-1,957,358",N,N,N,N,0,0,0,0,0,0,25
"-1,956,358",N,N,N,N,0,0,0,0,0,0,25
"-1,955,358",N,N,N,N,0,0,0,0,0,0,25
"-1,954,358",N,N,N,N,0,0,0,0,0,0,25
"-1,953,358",S,N,N,N,0.000859875,0,0.000859875,0,-0.000859875,-100,25
"-1,952,358",N,N,N,N,0,0,0,0,0,0,25
"-1,951,358",N,N,N,N,0,0,0,0,0,0,25
"-1,950,358",N,N,N,N,0,0,0,0,0,0,25
"-1,949,358",N,N,N,N,0,0,0,0,0,0,25
"-1,948,358",N,N,N,N,0,0,0,0,0,0,25
"-1,947,358",N,N,N,N,0,0,0,0,0,0,25
"-1,946,358",S,N,N,N,0.001719446,0,0.001719446,0,-0.001719446,-100,25
